	participant	target	time	age	gender	glasses			
0	1	7	9,46	71	m	TRUE	671,66		
1	1	2	15,845	71	m	TRUE	1124,995		
2	1	9	8,944	71	m	TRUE	635,024		
3	1	8	23,672	71	m	TRUE	1680,712		
4	1	7	3,816	71	m	TRUE	270,936		
5	1	1	20,674	71	m	TRUE	1467,854		
6	1	2	62,655	71	m	TRUE	4448,505		
7	1	7	7,413	71	m	TRUE	526,323		
8	1	0	14,66	71	m	TRUE	1040,86		
9	1	8	11,346	71	m	TRUE	805,566		
10	1	7	2,366	71	m	TRUE	167,986		
11	1	2	11,361	71	m	TRUE	806,631		
12	1	6	18,858	71	m	TRUE	1338,918		
13	1	5	12,844	71	m	TRUE	911,924		
14	1	4	14,044	71	m	TRUE	997,124		
15	1	7	9,561	71	m	TRUE	678,831		
16	1	2	32,62	71	m	TRUE	2316,02		
17	1	5	72,267	71	m	TRUE	5130,957		
18	1	1	31,452	71	m	TRUE	2233,092		
19	1	8	9,863	71	m	TRUE	700,273		
20	1	0	20,324	71	m	TRUE	1443,004		
21	1	5	52,444	71	m	TRUE	3723,524		
22	1	2	9,844	71	m	TRUE	698,924		
23	1	4	12,261	71	m	TRUE	870,531		
24	1	8	28,438	71	m	TRUE	2019,098		
25	1	0	4,698	71	m	TRUE	333,558		
26	1	5	10,479	71	m	TRUE	744,009		
27	1	3	10,445	71	m	TRUE	741,595		
28	1	5	10,728	71	m	TRUE	761,688		
29	1	2	18,858	71	m	TRUE	1338,918		
30	1	6	4,131	71	m	TRUE	293,301		
31	1	7	4,766	71	m	TRUE	338,386		
32	1	8	4,765	71	m	TRUE	338,315		
33	1	3	2,315	71	m	TRUE	164,365		
34	1	2	4,465	71	m	TRUE	317,015		
35	1	7	10,446	71	m	TRUE	741,666		
36	1	1	6,863	71	m	TRUE	487,273		
37	1	3	16,408	71	m	TRUE	1164,968		
38	1	8	2,383	71	m	TRUE	169,193		
39	1	2	12,228	71	m	TRUE	868,188		
40	1	1	9,262	71	m	TRUE	657,602		
41	1	6	7,148	71	m	TRUE	507,508		
42	1	4	6,53	71	m	TRUE	463,63		
43	1	8	4,466	71	m	TRUE	317,086		
44	1	2	7,746	71	m	TRUE	549,966		
45	1	8	5,349	71	m	TRUE	379,779		
46	1	0	3,832	71	m	TRUE	272,072		
47	1	7	8,379	71	m	TRUE	594,909		
48	1	2	4,131	71	m	TRUE	293,301		
49	1	1	16,127	71	m	TRUE	1145,017		
963	3	7	2,729	8	f	FALSE	21,832		
964	3	2	4,698	8	f	FALSE	37,584		
965	3	9	4,131	8	f	FALSE	33,048		
966	3	8	5,348	8	f	FALSE	42,784		
967	3	7	2,65	8	f	FALSE	21,2		
968	3	1	7,164	8	f	FALSE	57,312		
969	3	2	5,664	8	f	FALSE	45,312		
970	3	7	2,331	8	f	FALSE	18,648		
971	3	0	2,35	8	f	FALSE	18,8		
972	3	8	2,333	8	f	FALSE	18,664		
973	3	7	2,366	8	f	FALSE	18,928		
974	3	6	2,349	8	f	FALSE	18,792		
975	3	2	2,349	8	f	FALSE	18,792		
976	3	6	2,35	8	f	FALSE	18,8		
977	3	5	2,332	8	f	FALSE	18,656		
978	3	4	5,963	8	f	FALSE	47,704		
979	3	7	2,65	8	f	FALSE	21,2		
980	3	2	3,548	8	f	FALSE	28,384		
981	3	5	2,349	8	f	FALSE	18,792		
982	3	1	3,532	8	f	FALSE	28,256		
983	3	8	2,332	8	f	FALSE	18,656		
984	3	0	3,882	8	f	FALSE	31,056		
985	3	5	2,332	8	f	FALSE	18,656		
986	3	2	2,349	8	f	FALSE	18,792		
987	3	4	2,366	8	f	FALSE	18,928		
988	3	8	2,348	8	f	FALSE	18,784		
989	3	0	3,515	8	f	FALSE	28,12		
990	3	5	2,35	8	f	FALSE	18,8		
991	3	3	2,348	8	f	FALSE	18,784		
992	3	5	2,365	8	f	FALSE	18,92		
993	3	2	3,549	8	f	FALSE	28,392		
994	3	6	2,333	8	f	FALSE	18,664		
995	3	7	2,366	8	f	FALSE	18,928		
996	3	8	2,333	8	f	FALSE	18,664		
997	3	3	4,447	8	f	FALSE	35,576		
998	3	2	3,566	8	f	FALSE	28,528		
999	3	7	2,365	8	f	FALSE	18,92		
1000	3	1	3,515	8	f	FALSE	28,12		
1001	3	3	2,35	8	f	FALSE	18,8		
1002	3	8	4,164	8	f	FALSE	33,312		
1003	3	2	4,132	8	f	FALSE	33,056		
1004	3	1	2,666	8	f	FALSE	21,328		
1005	3	6	2,367	8	f	FALSE	18,936		
1006	3	4	2,299	8	f	FALSE	18,392		
1007	3	8	2,365	8	f	FALSE	18,92		
1008	3	2	2,365	8	f	FALSE	18,92		
1009	3	8	2,333	8	f	FALSE	18,664		
1010	3	0	3,248	8	f	FALSE	25,984		
1011	3	7	5,647	8	f	FALSE	45,176		
1012	3	2	2,349	8	f	FALSE	18,792		
1013	3	1	4,45	8	f	FALSE	35,6		
1064	4	7	4,212	33	f	TRUE	138,996		
1065	4	2	9,862	33	f	TRUE	325,446		
1066	4	9	3,532	33	f	TRUE	116,556		
1067	4	8	2,366	33	f	TRUE	78,078		
1068	4	7	11,662	33	f	TRUE	384,846		
1069	4	1	5,314	33	f	TRUE	175,362		
1070	4	2	6,88	33	f	TRUE	227,04		
1071	4	7	8,347	33	f	TRUE	275,451		
1072	4	0	7,13	33	f	TRUE	235,29		
1073	4	8	4,148	33	f	TRUE	136,884		
1074	4	7	13,777	33	f	TRUE	454,641		
1075	4	6	7,43	33	f	TRUE	245,19		
1076	4	2	2,366	33	f	TRUE	78,078		
1077	4	6	9,529	33	f	TRUE	314,457		
1078	4	5	3,532	33	f	TRUE	116,556		
1079	4	4	2,349	33	f	TRUE	77,517		
1080	4	7	2,349	33	f	TRUE	77,517		
1081	4	2	2,366	33	f	TRUE	78,078		
1082	4	5	2,349	33	f	TRUE	77,517		
1083	4	1	2,366	33	f	TRUE	78,078		
1084	4	8	2,315	33	f	TRUE	76,395		
1085	4	0	2,366	33	f	TRUE	78,078		
1086	4	5	2,348	33	f	TRUE	77,484		
1087	4	2	2,349	33	f	TRUE	77,517		
1088	4	4	2,35	33	f	TRUE	77,55		
1089	4	8	3,248	33	f	TRUE	107,184		
1090	4	0	2,334	33	f	TRUE	77,022		
1091	4	5	8,079	33	f	TRUE	266,607		
1092	4	3	5,632	33	f	TRUE	185,856		
1093	4	5	4,431	33	f	TRUE	146,223		
1094	4	2	2,349	33	f	TRUE	77,517		
1095	4	6	2,35	33	f	TRUE	77,55		
1096	4	7	5,046	33	f	TRUE	166,518		
1097	4	8	2,351	33	f	TRUE	77,583		
1098	4	3	6,263	33	f	TRUE	206,679		
1099	4	2	2,349	33	f	TRUE	77,517		
1100	4	7	2,632	33	f	TRUE	86,856		
1101	4	1	2,365	33	f	TRUE	78,045		
1102	4	3	2,349	33	f	TRUE	77,517		
1103	4	8	2,333	33	f	TRUE	76,989		
1104	4	2	2,333	33	f	TRUE	76,989		
1105	4	1	2,365	33	f	TRUE	78,045		
1106	4	6	2,35	33	f	TRUE	77,55		
1107	4	4	2,332	33	f	TRUE	76,956		
1108	4	8	2,982	33	f	TRUE	98,406		
1109	4	2	2,333	33	f	TRUE	76,989		
1110	4	8	2,332	33	f	TRUE	76,956		
1111	4	0	3,548	33	f	TRUE	117,084		
1112	4	7	2,35	33	f	TRUE	77,55		
1113	4	2	2,965	33	f	TRUE	97,845		
1114	4	1	2,332	33	f	TRUE	76,956		
1115	5	7	3,115	35	f	TRUE	109,025		
1116	5	2	2,357	35	f	TRUE	82,495		
1117	5	9	2,339	35	f	TRUE	81,865		
1118	5	8	2,359	35	f	TRUE	82,565		
1119	5	7	2,357	35	f	TRUE	82,495		
1120	5	1	2,346	35	f	TRUE	82,11		
1121	5	2	2,332	35	f	TRUE	81,62		
1122	5	7	2,333	35	f	TRUE	81,655		
1123	5	0	2,385	35	f	TRUE	83,475		
1124	5	8	2,331	35	f	TRUE	81,585		
1125	5	7	2,359	35	f	TRUE	82,565		
1126	5	6	2,344	35	f	TRUE	82,04		
1127	5	2	2,333	35	f	TRUE	81,655		
1128	5	6	2,345	35	f	TRUE	82,075		
1129	5	5	2,373	35	f	TRUE	83,055		
1130	5	4	2,331	35	f	TRUE	81,585		
1131	5	7	2,358	35	f	TRUE	82,53		
1132	5	2	2,346	35	f	TRUE	82,11		
1133	5	5	2,331	35	f	TRUE	81,585		
1134	5	1	5,677	35	f	TRUE	198,695		
1135	5	8	2,333	35	f	TRUE	81,655		
1136	5	0	2,332	35	f	TRUE	81,62		
1137	5	5	2,372	35	f	TRUE	83,02		
1138	5	2	2,345	35	f	TRUE	82,075		
1139	5	4	2,665	35	f	TRUE	93,275		
1140	5	8	2,333	35	f	TRUE	81,655		
1141	5	0	2,638	35	f	TRUE	92,33		
1142	5	5	2,359	35	f	TRUE	82,565		
1143	5	3	2,639	35	f	TRUE	92,365		
1144	5	5	2,358	35	f	TRUE	82,53		
1145	5	2	2,638	35	f	TRUE	92,33		
1146	5	6	2,359	35	f	TRUE	82,565		
1147	5	7	2,358	35	f	TRUE	82,53		
1148	5	8	2,333	35	f	TRUE	81,655		
1149	5	3	4,13	35	f	TRUE	144,55		
1150	5	2	2,373	35	f	TRUE	83,055		
