1625316266446;Model.NeuroTagMarkedAsTargetLogEntry;7
1625316266450;Model.SensorTelemetryLogEntry;93;96;98;98;91;94;95;97;E
1625316266450;Model.ExperimentEventLogEntry;started
1625316266614;Model.NeuroTagConfidenceLogEntry;7;0.02719437
1625316266910;Model.NeuroTagConfidenceLogEntry;7;0
1625316267210;Model.NeuroTagConfidenceLogEntry;7;0.009493785
1625316267510;Model.NeuroTagConfidenceLogEntry;7;0
1625316268709;Model.NeuroTagConfidenceLogEntry;7;0.06874018
1625316269009;Model.NeuroTagConfidenceLogEntry;7;0.06192094
1625316269292;Model.NeuroTagConfidenceLogEntry;7;0.08468653
1625316269625;Model.NeuroTagConfidenceLogEntry;7;0.1570437
1625316269908;Model.NeuroTagConfidenceLogEntry;7;0.1406192
1625316270207;Model.NeuroTagConfidenceLogEntry;7;0.158069
1625316270507;Model.NeuroTagConfidenceLogEntry;7;0.2454234
1625316270791;Model.NeuroTagConfidenceLogEntry;7;0.3104176
1625316271076;Model.NeuroTagConfidenceLogEntry;7;0.2717749
1625316271407;Model.NeuroTagConfidenceLogEntry;7;0.2295934
1625316271706;Model.NeuroTagConfidenceLogEntry;7;0.3216988
1625316271990;Model.NeuroTagConfidenceLogEntry;7;0.1446816
1625316272324;Model.NeuroTagConfidenceLogEntry;7;0.2082941
1625316272607;Model.NeuroTagConfidenceLogEntry;7;0.1966975
1625316272890;Model.NeuroTagConfidenceLogEntry;7;0.1969592
1625316273207;Model.NeuroTagConfidenceLogEntry;7;0.187198
1625316273506;Model.NeuroTagConfidenceLogEntry;7;0.1697814
1625316273823;Model.NeuroTagConfidenceLogEntry;7;0.1780166
1625316274123;Model.NeuroTagConfidenceLogEntry;7;0.1807304
1625316274406;Model.NeuroTagConfidenceLogEntry;7;0.1859194
1625316274706;Model.NeuroTagConfidenceLogEntry;7;0.0989519
1625316274989;Model.NeuroTagConfidenceLogEntry;7;0.2041692
1625316275289;Model.NeuroTagConfidenceLogEntry;7;0.2648972
1625316275605;Model.NeuroTagConfidenceLogEntry;7;0.2921213
1625316275905;Model.NeuroTagMarkedAsTargetLogEntry;2
1625316275906;Model.NeuroTagHitLogEntry;7
1625316278271;Model.NeuroTagConfidenceLogEntry;2;0
1625316278855;Model.NeuroTagConfidenceLogEntry;2;0.03478483
1625316279155;Model.NeuroTagConfidenceLogEntry;2;0
1625316279754;Model.NeuroTagConfidenceLogEntry;2;0.04197887
1625316280037;Model.NeuroTagConfidenceLogEntry;2;0.04151633
1625316280337;Model.NeuroTagConfidenceLogEntry;2;0.04330958
1625316280637;Model.NeuroTagConfidenceLogEntry;2;0.07011123
1625316280970;Model.NeuroTagConfidenceLogEntry;2;0.07607388
1625316281270;Model.NeuroTagConfidenceLogEntry;2;0.06198281
1625316281537;Model.NeuroTagConfidenceLogEntry;2;0.07947391
1625316281870;Model.NeuroTagConfidenceLogEntry;2;0.1655177
1625316282152;Model.NeuroTagConfidenceLogEntry;2;0.1411487
1625316282453;Model.NeuroTagConfidenceLogEntry;2;0.1787594
1625316282735;Model.NeuroTagConfidenceLogEntry;2;0.152357
1625316283035;Model.NeuroTagConfidenceLogEntry;2;0.1305241
1625316283352;Model.NeuroTagConfidenceLogEntry;2;0.08392971
1625316283652;Model.NeuroTagConfidenceLogEntry;2;0.05882873
1625316283935;Model.NeuroTagConfidenceLogEntry;2;0.1122696
1625316284251;Model.NeuroTagConfidenceLogEntry;2;0.1678635
1625316284551;Model.NeuroTagConfidenceLogEntry;2;0.186214
1625316284834;Model.NeuroTagConfidenceLogEntry;2;0.1786765
1625316285167;Model.NeuroTagConfidenceLogEntry;2;0.1925949
1625316285451;Model.NeuroTagConfidenceLogEntry;2;0.1963352
1625316285767;Model.NeuroTagConfidenceLogEntry;2;0.2466193
1625316286051;Model.NeuroTagConfidenceLogEntry;2;0.2846721
1625316286334;Model.NeuroTagConfidenceLogEntry;2;0.2678652
1625316286667;Model.NeuroTagConfidenceLogEntry;2;0.2444647
1625316286949;Model.NeuroTagConfidenceLogEntry;2;0.247578
1625316287233;Model.NeuroTagConfidenceLogEntry;2;0.1983793
1625316287566;Model.NeuroTagConfidenceLogEntry;2;0.2114025
1625316287850;Model.NeuroTagConfidenceLogEntry;2;0.1851107
1625316288150;Model.NeuroTagConfidenceLogEntry;2;0.2150117
1625316288450;Model.NeuroTagConfidenceLogEntry;2;0.1466884
1625316288766;Model.NeuroTagConfidenceLogEntry;2;0.1609975
1625316289033;Model.NeuroTagConfidenceLogEntry;2;0.1683031
1625316289366;Model.NeuroTagConfidenceLogEntry;2;0.1645745
1625316289664;Model.NeuroTagConfidenceLogEntry;2;0.1356343
1625316289949;Model.NeuroTagConfidenceLogEntry;2;0.1377615
1625316290265;Model.NeuroTagConfidenceLogEntry;2;0.158663
1625316290565;Model.NeuroTagConfidenceLogEntry;2;0.1655208
1625316290864;Model.NeuroTagConfidenceLogEntry;2;0.264036
1625316291149;Model.NeuroTagConfidenceLogEntry;2;0.282248
1625316291449;Model.NeuroTagConfidenceLogEntry;2;0.3094325
1625316291750;Model.NeuroTagMarkedAsTargetLogEntry;9
1625316291750;Model.NeuroTagHitLogEntry;2
1625316294114;Model.NeuroTagConfidenceLogEntry;9;0.1716163
1625316294413;Model.NeuroTagConfidenceLogEntry;9;0.1537466
1625316294697;Model.NeuroTagConfidenceLogEntry;9;0.1513085
1625316294997;Model.NeuroTagConfidenceLogEntry;9;0.1438196
1625316295331;Model.NeuroTagConfidenceLogEntry;9;0.1489049
1625316295613;Model.NeuroTagConfidenceLogEntry;9;0.0725095
1625316295913;Model.NeuroTagConfidenceLogEntry;9;0.102722
1625316296196;Model.NeuroTagConfidenceLogEntry;9;0.05689383
1625316296496;Model.NeuroTagConfidenceLogEntry;9;0.07767945
1625316296796;Model.NeuroTagConfidenceLogEntry;9;0.1249905
1625316297131;Model.NeuroTagConfidenceLogEntry;9;0.04568911
1625316297412;Model.NeuroTagConfidenceLogEntry;9;0.135807
1625316297712;Model.NeuroTagConfidenceLogEntry;9;0.07272523
1625316297995;Model.NeuroTagConfidenceLogEntry;9;0.1553442
1625316298295;Model.NeuroTagConfidenceLogEntry;9;0.1124462
1625316298595;Model.NeuroTagConfidenceLogEntry;9;0.1560929
1625316298912;Model.NeuroTagConfidenceLogEntry;9;0.1695473
1625316299211;Model.NeuroTagConfidenceLogEntry;9;0.1091403
1625316299511;Model.NeuroTagConfidenceLogEntry;9;0.1446455
1625316299795;Model.NeuroTagConfidenceLogEntry;9;0.04611838
1625316300094;Model.NeuroTagConfidenceLogEntry;9;0.1385898
1625316300412;Model.NeuroTagConfidenceLogEntry;9;0.06884762
1625316300694;Model.NeuroTagMarkedAsTargetLogEntry;8
1625316303060;Model.NeuroTagConfidenceLogEntry;8;0.1426773
1625316303359;Model.NeuroTagConfidenceLogEntry;8;0.1699079
1625316303643;Model.NeuroTagConfidenceLogEntry;8;0.1753189
1625316303942;Model.NeuroTagConfidenceLogEntry;8;0.1426266
1625316304242;Model.NeuroTagConfidenceLogEntry;8;0.2523663
1625316304542;Model.NeuroTagConfidenceLogEntry;8;0.2056427
1625316304875;Model.NeuroTagConfidenceLogEntry;8;0.2394013
1625316305159;Model.NeuroTagConfidenceLogEntry;8;0.2174232
1625316305459;Model.NeuroTagConfidenceLogEntry;8;0.2049922
1625316305742;Model.NeuroTagConfidenceLogEntry;8;0.1810407
1625316306041;Model.NeuroTagConfidenceLogEntry;8;0.1577262
1625316306341;Model.NeuroTagConfidenceLogEntry;8;0.2097959
1625316306641;Model.NeuroTagConfidenceLogEntry;8;0.1327596
1625316306925;Model.NeuroTagConfidenceLogEntry;8;0.1675497
1625316307257;Model.NeuroTagConfidenceLogEntry;8;0.1276916
1625316307541;Model.NeuroTagConfidenceLogEntry;8;0.1697959
1625316307841;Model.NeuroTagConfidenceLogEntry;8;0.1255414
1625316308141;Model.NeuroTagConfidenceLogEntry;8;0.007940196
1625316308458;Model.NeuroTagConfidenceLogEntry;8;0.02246762
1625316308759;Model.NeuroTagConfidenceLogEntry;8;0.03538683
1625316309057;Model.NeuroTagConfidenceLogEntry;8;0
1625316309657;Model.NeuroTagConfidenceLogEntry;8;0.1117847
1625316309940;Model.NeuroTagConfidenceLogEntry;8;0.1523267
1625316310273;Model.NeuroTagConfidenceLogEntry;8;0.1641764
1625316310556;Model.NeuroTagConfidenceLogEntry;8;0.1873315
1625316310857;Model.NeuroTagConfidenceLogEntry;8;0.2055567
1625316311156;Model.NeuroTagConfidenceLogEntry;8;0.2216209
1625316311439;Model.NeuroTagConfidenceLogEntry;8;0.1863268
1625316311772;Model.NeuroTagConfidenceLogEntry;8;0.1176161
1625316312055;Model.NeuroTagConfidenceLogEntry;8;0.04307909
1625316312356;Model.NeuroTagConfidenceLogEntry;8;0.05832635
1625316312655;Model.NeuroTagConfidenceLogEntry;8;0.04580864
1625316312956;Model.NeuroTagConfidenceLogEntry;8;0.129937
1625316313238;Model.NeuroTagConfidenceLogEntry;8;0.1536549
1625316313571;Model.NeuroTagConfidenceLogEntry;8;0.1351708
1625316313821;Model.NeuroTagConfidenceLogEntry;8;0.1871827
1625316314156;Model.NeuroTagConfidenceLogEntry;8;0.2134196
1625316314455;Model.NeuroTagConfidenceLogEntry;8;0.2585379
1625316314755;Model.NeuroTagConfidenceLogEntry;8;0.2870651
1625316315071;Model.NeuroTagConfidenceLogEntry;8;0.2256003
1625316315371;Model.NeuroTagConfidenceLogEntry;8;0.1758551
1625316315654;Model.NeuroTagConfidenceLogEntry;8;0.1529219
1625316315953;Model.NeuroTagConfidenceLogEntry;8;0.1504387
1625316316237;Model.NeuroTagConfidenceLogEntry;8;0.1626812
1625316316537;Model.NeuroTagConfidenceLogEntry;8;0.1744512
1625316316870;Model.NeuroTagConfidenceLogEntry;8;0.2430217
1625316317137;Model.NeuroTagConfidenceLogEntry;8;0.2565339
1625316317454;Model.NeuroTagConfidenceLogEntry;8;0.2570703
1625316317753;Model.NeuroTagConfidenceLogEntry;8;0.2286264
1625316318036;Model.NeuroTagConfidenceLogEntry;8;0.2152214
1625316318336;Model.NeuroTagConfidenceLogEntry;8;0.1852073
1625316318670;Model.NeuroTagConfidenceLogEntry;8;0.1417344
1625316318936;Model.NeuroTagConfidenceLogEntry;8;0.06336051
1625316319252;Model.NeuroTagConfidenceLogEntry;8;0.04594176
1625316319552;Model.NeuroTagConfidenceLogEntry;8;0.0609722
1625316319835;Model.NeuroTagConfidenceLogEntry;8;0.08789492
1625316320135;Model.NeuroTagConfidenceLogEntry;8;0.1002162
1625316320469;Model.NeuroTagConfidenceLogEntry;8;0.116549
1625316320735;Model.NeuroTagConfidenceLogEntry;8;0.2090506
1625316321068;Model.NeuroTagConfidenceLogEntry;8;0.2119469
1625316321351;Model.NeuroTagConfidenceLogEntry;8;0.274359
1625316321651;Model.NeuroTagConfidenceLogEntry;8;0.2191944
1625316321951;Model.NeuroTagConfidenceLogEntry;8;0.1442318
1625316322267;Model.NeuroTagConfidenceLogEntry;8;0.1115747
