1626197660856;Model.NeuroTagMarkedAsTargetLogEntry;7
1626197660860;Model.SensorTelemetryLogEntry;94;97;97;97;97;96;99;97;B
1626197660860;Model.ExperimentEventLogEntry;started
1626197660902;Model.NeuroTagConfidenceLogEntry;7;0.04225423
1626197661203;Model.NeuroTagConfidenceLogEntry;7;0
1626197661552;Model.NeuroTagConfidenceLogEntry;7;0.03787907
1626197661819;Model.NeuroTagConfidenceLogEntry;7;0.09472324
1626197662102;Model.NeuroTagConfidenceLogEntry;7;0.06372475
1626197662419;Model.NeuroTagConfidenceLogEntry;7;0.1155925
1626197662719;Model.NeuroTagConfidenceLogEntry;7;0.2020852
1626197663002;Model.NeuroTagConfidenceLogEntry;7;0.2680727
1626197663319;Model.NeuroTagConfidenceLogEntry;7;0.302177
1626197663619;Model.NeuroTagMarkedAsTargetLogEntry;2
1626197663620;Model.NeuroTagHitLogEntry;7
1626197665968;Model.NeuroTagMarkedAsTargetLogEntry;9
1626197665968;Model.NeuroTagHitLogEntry;2
1626197668300;Model.NeuroTagConfidenceLogEntry;9;0.2790321
1626197668616;Model.NeuroTagConfidenceLogEntry;9;0.273399
1626197668933;Model.NeuroTagConfidenceLogEntry;9;0.2951036
1626197669217;Model.NeuroTagMarkedAsTargetLogEntry;8
1626197669217;Model.NeuroTagHitLogEntry;9
1626197671581;Model.NeuroTagConfidenceLogEntry;8;0.1056425
1626197671848;Model.NeuroTagConfidenceLogEntry;8;0.09563865
1626197672164;Model.NeuroTagConfidenceLogEntry;8;0.1300343
1626197672447;Model.NeuroTagConfidenceLogEntry;8;0.1172819
1626197672747;Model.NeuroTagConfidenceLogEntry;8;0.133588
1626197673063;Model.NeuroTagConfidenceLogEntry;8;0.1503215
1626197673381;Model.NeuroTagConfidenceLogEntry;8;0.13154
1626197673647;Model.NeuroTagConfidenceLogEntry;8;0.1542974
1626197673963;Model.NeuroTagConfidenceLogEntry;8;0.1629968
1626197674263;Model.NeuroTagConfidenceLogEntry;8;0.1927604
1626197674547;Model.NeuroTagConfidenceLogEntry;8;0.2506558
1626197674862;Model.NeuroTagConfidenceLogEntry;8;0.2784012
1626197675145;Model.NeuroTagConfidenceLogEntry;8;0.2649748
1626197675446;Model.NeuroTagConfidenceLogEntry;8;0.3072069
1626197675763;Model.NeuroTagConfidenceLogEntry;8;0.2848809
1626197676046;Model.NeuroTagConfidenceLogEntry;8;0.2912761
1626197676363;Model.NeuroTagMarkedAsTargetLogEntry;7
1626197676363;Model.NeuroTagHitLogEntry;8
1626197678695;Model.NeuroTagMarkedAsTargetLogEntry;1
1626197678696;Model.NeuroTagHitLogEntry;7
1626197681061;Model.NeuroTagMarkedAsTargetLogEntry;2
1626197681061;Model.NeuroTagHitLogEntry;1
1626197681061;Model.NeuroTagConfidenceLogEntry;2;0.02578948
1626197683426;Model.NeuroTagMarkedAsTargetLogEntry;7
1626197683426;Model.NeuroTagHitLogEntry;2
1626197683426;Model.NeuroTagConfidenceLogEntry;7;0.003142013
1626197685759;Model.NeuroTagConfidenceLogEntry;7;0
1626197686075;Model.NeuroTagConfidenceLogEntry;7;0.02289605
1626197686341;Model.NeuroTagConfidenceLogEntry;7;0.0625049
1626197686659;Model.NeuroTagConfidenceLogEntry;7;0.05581186
1626197686958;Model.NeuroTagConfidenceLogEntry;7;0.02888473
1626197687241;Model.NeuroTagConfidenceLogEntry;7;0.05895858
1626197687558;Model.NeuroTagConfidenceLogEntry;7;0.1130897
1626197687874;Model.NeuroTagConfidenceLogEntry;7;0.1039348
1626197688140;Model.NeuroTagConfidenceLogEntry;7;0.1173761
1626197688458;Model.NeuroTagConfidenceLogEntry;7;0.1120676
1626197688774;Model.NeuroTagConfidenceLogEntry;7;0.1091654
1626197689040;Model.NeuroTagConfidenceLogEntry;7;0.1407876
1626197689357;Model.NeuroTagConfidenceLogEntry;7;0.1955069
1626197689674;Model.NeuroTagConfidenceLogEntry;7;0.3057344
1626197689940;Model.NeuroTagConfidenceLogEntry;7;0.2929531
1626197690257;Model.NeuroTagMarkedAsTargetLogEntry;0
1626197690257;Model.NeuroTagHitLogEntry;7
1626197692588;Model.NeuroTagMarkedAsTargetLogEntry;8
1626197692588;Model.NeuroTagHitLogEntry;0
1626197692588;Model.NeuroTagConfidenceLogEntry;8;0
1626197694971;Model.NeuroTagMarkedAsTargetLogEntry;7
1626197694971;Model.NeuroTagHitLogEntry;8
1626197697303;Model.NeuroTagConfidenceLogEntry;7;0.06776235
1626197697619;Model.NeuroTagConfidenceLogEntry;7;0.02599321
1626197697885;Model.NeuroTagConfidenceLogEntry;7;0.08545429
1626197698202;Model.NeuroTagConfidenceLogEntry;7;0.07898595
1626197698519;Model.NeuroTagConfidenceLogEntry;7;0.05948646
1626197698785;Model.NeuroTagConfidenceLogEntry;7;0.07082401
1626197699103;Model.NeuroTagConfidenceLogEntry;7;0.06967246
1626197699419;Model.NeuroTagConfidenceLogEntry;7;0.07787425
1626197699685;Model.NeuroTagConfidenceLogEntry;7;0.1203775
1626197700002;Model.NeuroTagConfidenceLogEntry;7;0.2239489
1626197700302;Model.NeuroTagConfidenceLogEntry;7;0.2139206
1626197700585;Model.NeuroTagConfidenceLogEntry;7;0.2491283
1626197700884;Model.NeuroTagConfidenceLogEntry;7;0.2631235
1626197701201;Model.NeuroTagConfidenceLogEntry;7;0.2075299
1626197701501;Model.NeuroTagConfidenceLogEntry;7;0.1187364
1626197701784;Model.NeuroTagConfidenceLogEntry;7;0
1626197702101;Model.NeuroTagConfidenceLogEntry;7;0.0006153882
1626197702401;Model.NeuroTagConfidenceLogEntry;7;0.05341135
1626197702700;Model.NeuroTagConfidenceLogEntry;7;0.06724463
1626197702983;Model.NeuroTagConfidenceLogEntry;7;0.07081967
1626197703300;Model.NeuroTagConfidenceLogEntry;7;0.06819734
1626197703617;Model.NeuroTagConfidenceLogEntry;7;0.07597791
1626197703882;Model.NeuroTagConfidenceLogEntry;7;0.06164646
1626197704200;Model.NeuroTagConfidenceLogEntry;7;0.2609138
1626197704516;Model.NeuroTagConfidenceLogEntry;7;0.2933774
1626197704783;Model.NeuroTagConfidenceLogEntry;7;0.2190852
1626197705100;Model.NeuroTagConfidenceLogEntry;7;0.2036738
1626197705400;Model.NeuroTagMarkedAsTargetLogEntry;6
1626197705401;Model.NeuroTagHitLogEntry;7
1626197707731;Model.NeuroTagConfidenceLogEntry;6;0.2290489
1626197708048;Model.NeuroTagConfidenceLogEntry;6;0.2548034
1626197708331;Model.NeuroTagConfidenceLogEntry;6;0.2569157
1626197708648;Model.NeuroTagConfidenceLogEntry;6;0.2571081
1626197708948;Model.NeuroTagConfidenceLogEntry;6;0.2186492
1626197709231;Model.NeuroTagConfidenceLogEntry;6;0.2538917
1626197709531;Model.NeuroTagConfidenceLogEntry;6;0.2591303
1626197709848;Model.NeuroTagConfidenceLogEntry;6;0.2867878
1626197710131;Model.NeuroTagConfidenceLogEntry;6;0.2127586
1626197710448;Model.NeuroTagConfidenceLogEntry;6;0.2354904
1626197710763;Model.NeuroTagConfidenceLogEntry;6;0.2312022
1626197711030;Model.NeuroTagConfidenceLogEntry;6;0.2345034
1626197711347;Model.NeuroTagConfidenceLogEntry;6;0.2649074
1626197711647;Model.NeuroTagConfidenceLogEntry;6;0.2774092
1626197711930;Model.NeuroTagConfidenceLogEntry;6;0.2604291
1626197712246;Model.NeuroTagConfidenceLogEntry;6;0.299127
1626197712546;Model.NeuroTagMarkedAsTargetLogEntry;2
1626197712546;Model.NeuroTagHitLogEntry;6
1626197714878;Model.NeuroTagMarkedAsTargetLogEntry;6
1626197714878;Model.NeuroTagHitLogEntry;2
1626197717244;Model.NeuroTagMarkedAsTargetLogEntry;5
1626197717244;Model.NeuroTagHitLogEntry;6
1626197719576;Model.NeuroTagMarkedAsTargetLogEntry;4
1626197719576;Model.NeuroTagHitLogEntry;5
1626197721924;Model.NeuroTagMarkedAsTargetLogEntry;7
1626197721924;Model.NeuroTagHitLogEntry;4
1626197721924;Model.NeuroTagConfidenceLogEntry;7;0.09480228
1626197724291;Model.NeuroTagConfidenceLogEntry;7;0.3036856
1626197724590;Model.NeuroTagConfidenceLogEntry;7;0.242198
1626197724874;Model.NeuroTagConfidenceLogEntry;7;0.1220821
1626197725190;Model.NeuroTagConfidenceLogEntry;7;0.108517
1626197725490;Model.NeuroTagConfidenceLogEntry;7;0.1357624
1626197725774;Model.NeuroTagConfidenceLogEntry;7;0.1134737
1626197726073;Model.NeuroTagConfidenceLogEntry;7;0.1644406
1626197726390;Model.NeuroTagConfidenceLogEntry;7;0.173808
1626197726691;Model.NeuroTagConfidenceLogEntry;7;0.1650659
1626197727005;Model.NeuroTagConfidenceLogEntry;7;0.1538355
1626197727272;Model.NeuroTagConfidenceLogEntry;7;0.251519
1626197727589;Model.NeuroTagConfidenceLogEntry;7;0.2256613
1626197727872;Model.NeuroTagConfidenceLogEntry;7;0.2829157
1626197728189;Model.NeuroTagConfidenceLogEntry;7;0.2541732
1626197728490;Model.NeuroTagMarkedAsTargetLogEntry;2
1626197728490;Model.NeuroTagHitLogEntry;7
1626197730838;Model.NeuroTagMarkedAsTargetLogEntry;5
1626197730838;Model.NeuroTagHitLogEntry;2
1626197733170;Model.NeuroTagMarkedAsTargetLogEntry;1
1626197733171;Model.NeuroTagHitLogEntry;5
1626197735519;Model.NeuroTagMarkedAsTargetLogEntry;8
1626197735519;Model.NeuroTagHitLogEntry;1
1626197735520;Model.NeuroTagConfidenceLogEntry;8;0.0581177
1626197737884;Model.NeuroTagConfidenceLogEntry;8;0.1359899
1626197738168;Model.NeuroTagConfidenceLogEntry;8;0.1630832
1626197738484;Model.NeuroTagConfidenceLogEntry;8;0
1626197738783;Model.NeuroTagConfidenceLogEntry;8;0.007060369
