1627746298980;Model.NeuroTagMarkedAsTargetLogEntry;7
1627746298990;Model.SensorTelemetryLogEntry;97;95;97;98;97;96;99;98;C
1627746298990;Model.ExperimentEventLogEntry;started
1627746301208;Model.NeuroTagMarkedAsTargetLogEntry;2
1627746303574;Model.NeuroTagMarkedAsTargetLogEntry;9
1627746303575;Model.NeuroTagHitLogEntry;2
1627746305923;Model.NeuroTagMarkedAsTargetLogEntry;8
1627746305924;Model.NeuroTagHitLogEntry;9
1627746308272;Model.NeuroTagMarkedAsTargetLogEntry;7
1627746308272;Model.NeuroTagHitLogEntry;8
1627746308273;Model.NeuroTagConfidenceLogEntry;7;0.05337175
1627746310605;Model.NeuroTagMarkedAsTargetLogEntry;1
1627746310611;Model.NeuroTagHitLogEntry;7
1627746312953;Model.NeuroTagConfidenceLogEntry;1;0.1614431
1627746313287;Model.NeuroTagConfidenceLogEntry;1;0.1941042
1627746313587;Model.NeuroTagConfidenceLogEntry;1;0.1938303
1627746313886;Model.NeuroTagConfidenceLogEntry;1;0.1885455
1627746314153;Model.NeuroTagConfidenceLogEntry;1;0.1786822
1627746314486;Model.NeuroTagConfidenceLogEntry;1;0.1515653
1627746314786;Model.NeuroTagConfidenceLogEntry;1;0.1394153
1627746315069;Model.NeuroTagConfidenceLogEntry;1;0.0934276
1627746315368;Model.NeuroTagConfidenceLogEntry;1;0.08494217
1627746315669;Model.NeuroTagConfidenceLogEntry;1;0.08294386
1627746315968;Model.NeuroTagConfidenceLogEntry;1;0.04385677
1627746316268;Model.NeuroTagConfidenceLogEntry;1;0.006734485
1627746316568;Model.NeuroTagConfidenceLogEntry;1;0.03031274
1627746316867;Model.NeuroTagConfidenceLogEntry;1;0.02018435
1627746317185;Model.NeuroTagConfidenceLogEntry;1;0.02091154
1627746317452;Model.NeuroTagConfidenceLogEntry;1;0.02346656
1627746317751;Model.NeuroTagConfidenceLogEntry;1;0.01980172
1627746318084;Model.NeuroTagConfidenceLogEntry;1;0.01066336
1627746318351;Model.NeuroTagConfidenceLogEntry;1;0
1627746318984;Model.NeuroTagMarkedAsTargetLogEntry;2
1627746318984;Model.NeuroTagConfidenceLogEntry;2;1
1627746321300;Model.NeuroTagConfidenceLogEntry;2;0.2836918
1627746321616;Model.NeuroTagConfidenceLogEntry;2;0.2912492
1627746321916;Model.NeuroTagMarkedAsTargetLogEntry;7
1627746321916;Model.NeuroTagHitLogEntry;2
1627746324282;Model.NeuroTagConfidenceLogEntry;7;0.2256256
1627746324581;Model.NeuroTagConfidenceLogEntry;7;0.1353669
1627746324882;Model.NeuroTagConfidenceLogEntry;7;0.2233376
1627746325181;Model.NeuroTagConfidenceLogEntry;7;0.1546022
1627746325448;Model.NeuroTagConfidenceLogEntry;7;0.1064157
1627746325780;Model.NeuroTagConfidenceLogEntry;7;0.09805155
1627746326081;Model.NeuroTagConfidenceLogEntry;7;0.1666369
1627746326381;Model.NeuroTagConfidenceLogEntry;7;0.2548869
1627746326647;Model.NeuroTagConfidenceLogEntry;7;0.2640229
1627746326980;Model.NeuroTagMarkedAsTargetLogEntry;0
1627746326981;Model.NeuroTagHitLogEntry;7
1627746329312;Model.NeuroTagConfidenceLogEntry;0;0.1308536
1627746329613;Model.NeuroTagConfidenceLogEntry;0;0.1484922
1627746329913;Model.NeuroTagConfidenceLogEntry;0;0.1378458
1627746330212;Model.NeuroTagConfidenceLogEntry;0;0.1230692
1627746330512;Model.NeuroTagConfidenceLogEntry;0;0.03717508
1627746330812;Model.NeuroTagConfidenceLogEntry;0;0.1125179
1627746331112;Model.NeuroTagConfidenceLogEntry;0;0.06112909
1627746331412;Model.NeuroTagConfidenceLogEntry;0;0.1668541
