1625935270131;Model.NeuroTagMarkedAsTargetLogEntry;7
1625935270135;Model.SensorTelemetryLogEntry;98;98;98;98;99;98;98;99;D
1625935270135;Model.ExperimentEventLogEntry;started
1625935270394;Model.NeuroTagConfidenceLogEntry;7;0
1625935272793;Model.NeuroTagConfidenceLogEntry;7;0.08015722
1625935273077;Model.NeuroTagConfidenceLogEntry;7;0.09266064
1625935273376;Model.NeuroTagConfidenceLogEntry;7;0.1666172
1625935273659;Model.NeuroTagConfidenceLogEntry;7;0.2432079
1625935273976;Model.NeuroTagConfidenceLogEntry;7;0.2426684
1625935274277;Model.NeuroTagConfidenceLogEntry;7;0.2589806
1625935274575;Model.NeuroTagConfidenceLogEntry;7;0.2888649
1625935274859;Model.NeuroTagConfidenceLogEntry;7;0.2702062
1625935275175;Model.NeuroTagConfidenceLogEntry;7;0.2683304
1625935275475;Model.NeuroTagConfidenceLogEntry;7;0.2585721
1625935275792;Model.NeuroTagConfidenceLogEntry;7;0.1819118
1625935276092;Model.NeuroTagConfidenceLogEntry;7;0.1107471
1625935276374;Model.NeuroTagConfidenceLogEntry;7;0.09391022
1625935276675;Model.NeuroTagConfidenceLogEntry;7;0.00962502
1625935276991;Model.NeuroTagConfidenceLogEntry;7;0.02642815
1625935277274;Model.NeuroTagConfidenceLogEntry;7;0.01184744
1625935277557;Model.NeuroTagConfidenceLogEntry;7;0.07181586
1625935277891;Model.NeuroTagConfidenceLogEntry;7;0.08093672
1625935278173;Model.NeuroTagConfidenceLogEntry;7;0.1039978
1625935278490;Model.NeuroTagConfidenceLogEntry;7;0.152928
1625935278773;Model.NeuroTagConfidenceLogEntry;7;0.300083
1625935279107;Model.NeuroTagMarkedAsTargetLogEntry;2
1625935279108;Model.NeuroTagHitLogEntry;7
1625935281439;Model.NeuroTagConfidenceLogEntry;2;0.2729704
1625935281722;Model.NeuroTagConfidenceLogEntry;2;0.2449904
1625935282039;Model.NeuroTagConfidenceLogEntry;2;0.3185734
1625935282322;Model.NeuroTagConfidenceLogEntry;2;0.3044181
1625935282622;Model.NeuroTagConfidenceLogEntry;2;0.283354
1625935282938;Model.NeuroTagConfidenceLogEntry;2;0.3109625
1625935283221;Model.NeuroTagConfidenceLogEntry;2;0.2824015
1625935283521;Model.NeuroTagConfidenceLogEntry;2;0.2888494
1625935283838;Model.NeuroTagConfidenceLogEntry;2;0.227686
1625935284121;Model.NeuroTagConfidenceLogEntry;2;0.2554959
1625935284405;Model.NeuroTagConfidenceLogEntry;2;0.199015
1625935284739;Model.NeuroTagConfidenceLogEntry;2;0.2000702
1625935285038;Model.NeuroTagConfidenceLogEntry;2;0.2410417
1625935285321;Model.NeuroTagConfidenceLogEntry;2;0.2483685
1625935285621;Model.NeuroTagConfidenceLogEntry;2;0.280785
